domain_length,number_of_dots_in_domain,number_of_hyphens_in_domain,number_of_special_characters_in_domain,number_of_digits_in_domain,number_of_subdomains,average_subdomain_length,number_of_digits_in_subdomain,entropy_of_domain
12,3,0,0,0,2,2,0,3.084962501
6,1,0,0,1,1,3,0,2.584962501
18,3,0,0,0,2,12,0,3.239097918
88,11,0,0,18,10,6,0,4.697591609
24,3,0,0,0,1,20,0,3.54248125
9,1,0,0,2,1,5,0,2.725480557
16,3,0,0,4,2,7,1,3.077819531
8,3,3,0,45,1,5,0,3
13,2,0,0,2,1,9,0,3.39274741
13,1,0,0,0,1,10,0,2.81507241
8,1,2,0,0,1,7.333333333,0,3.546593564
23,1,0,0,6,1,19,0,3.882045108
14,5,0,2,4,2,3,0,3.324862958
32,1,2,0,5,1,9,5,4.116729297
10,3,0,1,0,1,6,0,2.921928095
23,6,1,1,0,2,3,0,3.621175543
15,4,0,2,4,1,11,0,3.323231429
15,2,1,3,8,1,5,0,3.640223929
26,5,0,0,31,4,3,0,3.700439718
21,3,0,0,0,2,3,0,3.784941827
32,2,1,0,21,2,3,0,4.140319531
47,2,1,0,0,2,16.5,0,3.777444438
15,1,1,0,23,1,5,0,2.999581231
15,4,0,0,0,3,3,0,3.006238929
20,3,1,0,0,3,3,0,3.48418372
21,1,0,0,0,1,17,0,3.368042423
40,2,3,0,0,2,3,0,4.003701696
27,2,1,0,5,1,11,4,3.958229169
13,3,0,2,5,1,9,0,3.39274741
13,5,0,2,1,2,3,0,2.499698143
12,2,0,0,0,2,5,0,2.918295834
15,2,0,0,0,1,11,0,3.106890596
21,5,0,0,0,4,6,0,3.368042423
12,2,0,0,10,1,8,0,3.084962501
18,3,0,0,36,2,8,0,3.725480557
16,3,0,0,0,3,3,0,3.280639062
13,7,0,1,1,2,3,0,2.661226256
16,2,0,0,0,2,3,0,3.02439747
6,1,0,0,6,1,3,0,2.584962501
33,3,1,0,8,3,8,0,3.922589574
19,2,0,0,0,2,3,0,3.431623566
17,3,0,2,7,2,6,0,3.499227547
25,4,0,0,33,3,6,0,3.83326969
15,5,0,0,1,2,3,0,3.189898095
24,4,0,0,4,3,8,0,3.438721876
32,3,0,0,0,2,16,0,4.116729297
14,3,0,0,40,2,4,0,3.378783493
14,3,0,0,1,2,3,0,3.182005815
17,3,0,0,17,3,3,0,3.572469459
16,1,1,0,19,1,12,0,3.327819531
15,2,0,0,7,2,4,0,2.973557262
22,2,0,0,13,2,3,0,3.42511855
22,3,0,0,0,2,3,0,3.788754914
12,3,0,4,12,1,8,0,3.418295834
22,3,3,1,5,2,4,0,3.516027641
40,1,5,1,19,1,5.333333333,0,3.906198333
23,4,1,0,0,2,3,0,3.588354347
20,4,0,0,38,3,6,0,3.546439345
21,6,1,0,0,2,3,0,4.070656113
22,7,1,1,2,3,3,0,3.572623664
13,1,0,0,0,1,10,0,3.39274741
17,1,0,1,60,1,13,0,3.146286371
13,2,0,0,1,1,9,0,3.39274741
24,2,1,0,0,1,9.5,0,3.573934896
20,1,0,0,0,1,17,0,3.546439345
15,1,0,0,0,1,12,0,3.240223929
10,2,1,0,0,1,11.5,0,3.321928095
17,3,1,2,2,2,10,0,3.572469459
30,2,0,0,0,2,23,0,3.698068512
15,2,0,0,0,2,9,0,3.373557262
92,6,4,0,32,6,6,0,4.542357001
14,2,0,0,21,1,10,2,3.664497779
30,3,0,0,1,2,10,1,3.764735179
20,1,1,0,0,1,7.5,0,3.721928095
13,2,0,0,0,1,9,0,3.238901257
13,2,0,0,1,1,9,0,3.39274741
10,5,1,1,2,1,6,0,3.321928095
21,3,0,1,0,2,5,0,3.916126947
18,1,2,0,2,1,14,0,3.530493057
18,6,6,0,35,2,11,1,3.725480557
19,1,0,0,2,1,15,0,3.260828171
22,2,5,2,0,1,18,0,3.754441846
92,8,1,0,36,7,3,0,4.604871675
21,5,0,0,0,3,3,0,3.296148375
16,1,0,0,0,1,12,0,3.452819531
14,3,1,2,7,2,3,0,3.182005815
24,5,1,0,0,3,3,0,3.688721876
19,1,0,0,1,1,15,0,3.22109725
15,2,0,0,2,1,11,2,3.373557262
26,6,1,0,0,5,2,0,3.657385277
17,3,0,0,46,2,3,0,3.572469459
13,1,1,0,7,1,9,0,3.026986833
30,5,4,1,1,2,3,0,3.64441383
17,2,1,0,0,2,3,0,3.4548224
12,3,1,0,0,2,6,0,3.084962501
22,2,0,0,0,2,3,0,3.879664005
18,1,0,0,0,1,14,0,3.530493057
29,5,1,0,3,2,5,0,3.85386322
16,3,0,0,0,2,9,0,3.375
41,2,3,0,0,2,6.25,0,4.125129443
27,3,0,0,3,2,9,0,4.134336113
26,8,1,3,1,5,2,0,3.551428065
11,2,0,0,19,1,7,0,3.277613437
26,7,1,3,1,5,2,0,3.840265565
11,6,1,1,2,1,7,0,3.095795255
32,2,0,0,62,2,16,10,4.179229297
32,2,0,0,2,2,19,2,4.051108501
25,2,0,0,2,2,12,2,3.84385619
36,6,1,3,22,6,6,3,4.197159723
24,2,0,0,3,2,15,2,3.886842188
18,4,1,0,0,2,11,0,3.46132014
26,5,0,0,34,4,3,0,3.700439718
37,6,1,0,16,6,3,0,3.992708771
23,3,1,0,0,3,3,0,3.501397825
12,1,0,0,0,1,8,0,3.418295834
14,2,2,0,23,2,3,0,3.324862958
15,2,0,0,0,2,9,0,3.506890596
11,4,0,1,2,2,5,0,2.845350937
18,3,2,1,2,2,3,0,3.419381946
14,2,0,0,0,2,4,0,3.182005815
15,7,1,1,2,2,3,0,3.189898095
23,2,0,1,0,2,3,0,3.795088586
15,1,0,0,0,1,11,0,3.189898095
0,4,2,0,0,3,11,0,3.410417253
12,3,0,0,2,1,8,0,3.084962501
35,6,0,1,19,5,3,0,3.85130999
18,2,1,1,25,1,14,0,3.614369446
15,3,0,0,0,2,3,0,3.139572262
15,3,0,0,0,2,3,0,2.973557262
11,3,0,1,1,2,3,0,2.845350937
13,4,1,2,53,3,2,2,2.507380102
13,2,0,0,1,1,9,0,3.39274741
18,3,0,0,1,2,3,0,3.197159723
10,4,0,0,0,2,3,0,2.446439345
18,6,1,1,0,2,3,0,3.308270835
17,2,1,2,57,1,13,0,3.337175341
23,2,4,0,0,2,5,0,3.24052826
25,3,0,0,0,2,18,0,3.399079571
18,4,1,0,0,1,14,0,3.46132014
127,7,7,0,30,6,6,0,4.752618393
16,3,0,3,5,2,5,1,3.625
13,3,0,0,0,2,3,0,2.87314068
27,4,0,0,8,4,9,5,3.986187965
20,3,0,0,0,3,10,0,3.68418372
21,2,1,1,6,1,8,0,3.463280518
47,5,6,1,2,4,6,0,4.320205608
18,1,0,0,0,1,14,0,3.614369446
13,2,0,0,2,1,9,0,3.39274741
18,4,2,0,0,1,14,0,3.377443751
11,1,3,0,3,1,7,0,3.095795255
16,1,0,0,24,1,13,0,3.375
35,2,2,0,5,2,8.333333333,5,4.171860874
16,2,1,0,0,1,12,0,3.75
32,2,3,0,0,2,5.75,0,3.929229297
14,3,0,0,0,2,3,0,2.896291529
13,2,0,0,1,1,9,0,3.39274741
20,3,2,1,0,2,3,0,3.38418372
49,3,5,0,21,3,6.25,0,4.142486059
21,6,2,1,0,2,3,0,3.558518613
18,1,1,0,0,1,6.5,0,3.572431251
20,4,0,0,33,3,6,0,3.58418372
24,3,1,0,0,1,20,0,3.625814584
12,4,0,0,1,2,4,0,2.855388542
12,2,0,0,10,1,8,0,3.084962501
14,7,1,1,2,2,3,0,3.324862958
16,2,0,0,0,1,12,0,3.452819531
15,1,0,0,2,1,12,0,3.373557262
37,3,0,0,4,2,22,1,4.283381406
13,1,1,0,0,1,4.5,0,3.026986833
25,2,0,0,0,2,9,0,3.429275071
20,4,2,2,40,1,8,0,3.20869497
30,5,0,2,1,4,6,0,3.48591758
25,3,0,0,7,3,10,0,3.452878689
13,2,0,0,3,1,9,0,3.39274741
24,2,2,6,12,1,6,2,3.970175521
20,2,0,0,46,2,7,4,3.78418372
42,4,1,0,0,4,3,0,3.519197555
24,3,2,0,0,2,4.333333333,0,3.855388542
21,2,10,0,0,1,17,0,3.725650756
16,6,0,2,1,3,3,0,3.155639062
14,2,1,0,19,1,5,0,3.324862958
18,2,0,0,0,2,5,0,3.281036113
18,2,0,0,0,1,14,0,3.614369446
30,3,0,9,35,3,11,0,3.739572262
18,2,0,2,4,1,14,0,3.350209029
32,5,1,2,1,4,6,0,3.741729297
29,7,1,0,6,3,8,6,4.090234012
15,7,1,1,2,2,3,0,3.189898095
16,3,0,0,0,2,8,0,3.452819531
13,4,0,0,1,2,3,0,3.026986833
30,2,0,0,8,2,12,2,4.164735179
18,3,0,2,6,2,11,0,3.392147224
15,2,1,0,4,2,3,0,3.106890596
21,2,0,2,0,1,17,0,3.617809684
25,8,0,0,0,2,18,0,3.67326969
17,3,0,3,3,2,7,2,3.616874606
16,6,1,1,2,2,3,0,3.327819531
24,2,2,0,4,1,9.5,0,3.573934896
90,10,2,0,8,9,3,0,4.536259215
16,1,0,0,25,1,12,0,3.577819531
58,6,0,0,0,6,3,0,3.874609229
63,5,3,0,10,5,24,5,4.582859742
22,2,0,0,0,2,3,0,3.663532755
14,2,0,0,0,2,8,0,2.753434386
16,1,0,2,9,1,11,0,3.5
14,3,0,1,0,2,3,0,3.324862958
112,11,0,0,26,11,6,0,4.605833988
15,5,1,0,0,3,3,0,3.006238929
30,2,2,0,0,2,7.333333333,0,3.856564762
32,2,0,0,64,2,16,10,4.116729297
25,3,0,1,4,1,21,0,3.86346519
24,3,0,0,0,3,9,0,3.605388542
23,2,0,0,2,2,14,0,3.882045108
18,4,0,1,4,2,3,0,3.392147224
22,3,0,0,46,2,3,0,3.572623664
14,4,2,2,0,1,10,0,2.753434386
26,9,2,7,18,5,7,0,3.657385277
25,3,0,1,0,2,3,0,3.70346519
13,2,0,0,2,1,9,0,3.39274741
12,1,0,0,5,1,8,0,3.084962501
14,6,1,1,2,2,3,0,2.896291529
30,7,0,2,28,5,3,0,3.777747163
12,2,0,0,0,1,9,0,3.584962501
12,1,0,0,0,1,9,0,3.084962501
13,4,0,0,0,1,9,0,3.238901257
25,2,0,4,21,2,3,0,3.70346519
45,6,0,1,1,6,6,0,3.90332102
24,2,1,0,21,1,20,2,3.938721876
14,2,0,0,0,2,3,0,3.039148672
20,3,0,0,27,3,3,0,3.546439345
12,2,0,1,26,1,8,0,3.022055209
16,1,0,1,2,1,12,0,3.75
30,7,0,2,27,5,3,0,3.84441383
25,5,0,0,32,4,3,0,3.59326969
6,1,0,0,2,1,3,0,2.584962501
19,3,0,0,0,2,3,0,3.40582225
20,3,0,0,0,2,10,0,3.421928095
27,2,0,0,0,1,23,0,4.134336113
14,2,0,0,25,2,3,0,3.039148672
20,6,0,0,1,2,3,0,3.78418372
12,1,0,0,27,1,9,0,3.084962501
28,4,0,2,3,3,14,0,3.668986958
10,6,1,1,2,2,3,0,3.121928095
22,3,0,1,0,2,3,0,3.879664005
17,2,0,0,10,2,3,0,3.4548224
168,14,6,0,36,14,6,0,4.777290203
28,2,0,0,8,2,4,0,3.940759833
13,2,1,0,18,1,9,0,3.39274741
102,8,2,0,46,8,6,0,4.676691151
14,3,2,0,0,1,10,0,3.378783493
25,2,0,4,21,2,3,0,3.70346519
24,3,3,0,0,2,18,0,3.772055209
6,1,0,0,0,1,3,0,2.584962501
12,3,1,0,0,1,3.5,0,3.418295834
29,3,1,0,1,2,3,0,3.88333746
15,3,2,0,0,2,3,0,3.189898095
25,5,0,0,37,4,3,0,3.68385619
52,6,1,0,0,6,3,0,4.029404084
17,2,2,0,0,1,13,0,3.337175341
22,4,1,0,2,3,3,0,3.754441846
30,3,1,0,4,3,3,0,3.872905595
12,6,1,0,0,2,3,0,2.284159128
14,2,0,0,0,2,3,0,2.753434386
12,1,1,0,0,1,8,0,3.251629167
13,1,0,0,0,1,8,0,3.39274741
36,3,0,0,0,2,15,0,3.685871614
19,4,0,0,1,3,3,0,3.391892645
19,4,0,0,0,4,3,0,3.260828171
27,8,0,3,1,5,2,0,3.380094336
17,1,0,0,3,1,13,3,3.4548224
12,2,1,0,24,2,2,0,3.251629167
13,6,1,1,5,2,3,0,2.87314068
21,1,0,0,0,1,17,0,3.725650756
13,2,0,0,19,2,4,0,3.026986833
13,7,1,1,2,2,3,0,2.87314068
26,6,0,2,22,4,6,0,3.902174814
22,1,2,0,0,1,9,0,3.6412498
21,2,0,2,13,2,9,6,3.820888851
14,2,0,0,38,1,10,0,3.235926351
76,5,7,0,37,5,6.6,19,4.397122048
19,2,0,0,0,2,12,0,3.22109725
13,3,0,0,0,2,3,0,2.87314068
13,2,0,1,0,2,6,0,3.39274741
99,15,0,0,12,15,6,0,4.264704389
39,6,2,4,4,4,6,0,3.605253823
30,4,0,0,20,4,6,0,3.723231429
31,2,0,0,0,2,25,0,3.603412343
34,3,0,0,1,2,18,0,3.914689224
12,3,0,0,0,2,5,0,3.084962501
18,1,0,0,0,1,15,0,3.350209029
29,3,0,0,1,3,3,0,3.624379702
34,2,0,0,4,2,21,4,4.256149238
16,3,0,0,26,2,8,6,3.452819531
20,2,1,0,0,1,16,0,3.546439345
10,1,0,0,0,1,6,0,3.321928095
17,2,0,0,0,2,3,0,3.219528282
23,2,1,0,0,1,19,0,3.96900163
148,15,2,0,50,15,6,0,4.72784632
11,3,0,0,0,1,7,0,3.277613437
20,4,0,0,43,3,6,0,3.546439345
22,11,1,4,17,1,18,0,3.55034071
17,1,2,0,3,1,4,3,3.337175341
17,2,0,0,0,2,3,0,3.337175341
19,5,0,0,4,1,15,0,3.286629487
20,2,0,0,3,2,10,0,3.421928095
6,4,2,0,0,2,38,0,3.992870517
18,2,0,0,1,2,11,0,3.572431251
15,2,0,0,4,2,4,0,2.973557262
20,3,0,0,0,3,3,0,3.30869497
21,1,0,0,0,1,17,0,3.594465637
24,2,0,0,2,2,12,2,3.803508855
24,2,0,0,1,2,15,0,3.553508855
15,2,0,0,3,2,4,0,2.973557262
